value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betanysports_price,betmgm_price,betonlineag_price,betparx_price,betus_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,lowvig_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
lowvig,-101.0,-0.09306980737300052,Arkansas State Red Wolves @ Bowling Green Falcons,spreads,,Arkansas State Red Wolves,7.0,-117.0,,-110.0,-105.0,-117.0,-110.0,-110.0,-108.0,-110.0,,-120.0,-110.0,-101.0,,0.4557211415687908,1.99009900990099
betonlineag,200.0,0.015402341221892657,Ohio Bobcats @ Jacksonville State Gamecocks,h2h,,Jacksonville State Gamecocks,,185.0,,185.0,200.0,185.0,190.0,180.0,170.0,180.0,180.0,175.0,170.0,200.0,175.0,0.3384674470739642,3.0
lowvig,200.0,0.015402341221892657,Ohio Bobcats @ Jacksonville State Gamecocks,h2h,,Jacksonville State Gamecocks,,185.0,,185.0,200.0,185.0,190.0,180.0,170.0,180.0,180.0,175.0,170.0,200.0,175.0,0.3384674470739642,3.0
fliff,100.0,-0.019230769230769162,Pittsburgh Panthers @ Toledo Rockets,totals,,Under,50.5,,-110.0,,-110.0,,,,,,,100.0,,-108.0,,0.4903846153846154,2.0
lowvig,104.0,-0.09582546471184505,Georgia Tech Yellow Jackets @ Vanderbilt Commodores,spreads,,Vanderbilt Commodores,2.5,-107.0,,-105.0,100.0,-107.0,,-105.0,,,-106.0,,-105.0,104.0,,0.4432228114157622,2.04
draftkings,-205.0,-0.015768640768580977,Ohio Bobcats @ Jacksonville State Gamecocks,h2h,,Ohio Bobcats,,-230.0,,-225.0,-240.0,-230.0,-225.0,-220.0,-205.0,-215.0,-220.0,-245.0,-220.0,-240.0,-222.0,0.6615325529260357,1.4878048780487805
draftkings,-245.0,-0.022167712330919742,Indiana Hoosiers @ Notre Dame Fighting Irish,h2h,,Notre Dame Fighting Irish,,-295.0,,-275.0,,-295.0,,-280.0,-245.0,-250.0,-255.0,-300.0,-275.0,,-250.0,0.6944026390693468,1.4081632653061225
fanduel,114.0,-0.00291243694586929,Buffalo Bulls @ Liberty Flames,h2h,,Liberty Flames,,108.0,105.0,100.0,105.0,108.0,105.0,100.0,102.0,105.0,114.0,,105.0,105.0,100.0,0.465928767782304,2.14
fanduel,-106.0,-0.1039827155495735,Indiana Hoosiers @ Georgia Bulldogs,spreads,,Georgia Bulldogs,-6.5,,,,-120.0,,,,-110.0,,-106.0,,,-116.0,,0.4610574376298311,1.9433962264150944
bovada,-105.0,-0.020311235069986222,Coastal Carolina Chanticleers @ UTSA Roadrunners,totals,,Over,56.0,-113.0,,,,-113.0,,-105.0,,,,-120.0,-110.0,,,0.501791806427568,1.9523809523809523
fanduel,-196.0,-0.014410552992324188,East Carolina Pirates @ NC State Wolfpack,h2h,,NC State Wolfpack,,-210.0,-210.0,-225.0,-210.0,-210.0,-210.0,-225.0,-218.0,-210.0,-196.0,,-220.0,-210.0,-222.0,0.6526200392348124,1.510204081632653
fanduel,-245.0,-0.018753834249197854,Arkansas State Red Wolves @ Bowling Green Falcons,h2h,,Bowling Green Falcons,,-275.0,-265.0,-250.0,-265.0,-275.0,-265.0,-275.0,-270.0,-270.0,-245.0,-300.0,-275.0,-265.0,-286.0,0.6968269872723087,1.4081632653061225
fanduel,-245.0,-0.01846724247421394,Pittsburgh Panthers @ Toledo Rockets,h2h,,Pittsburgh Panthers,,-275.0,-265.0,-275.0,-265.0,-275.0,-265.0,-275.0,-265.0,-250.0,-245.0,-305.0,-275.0,-265.0,-286.0,0.6970305089675872,1.4081632653061225
betmgm,-130.0,-0.00785155806952087,Boston College Eagles @ Nebraska Cornhuskers,h2h,,Nebraska Cornhuskers,,-137.0,-145.0,-130.0,-145.0,-137.0,-145.0,-145.0,-135.0,-145.0,-134.0,,-140.0,-145.0,-143.0,0.5607795541346187,1.7692307692307692
lowvig,-101.0,-0.09852766616380126,Minnesota Golden Gophers @ Virginia Tech Hokies,spreads,,Minnesota Golden Gophers,-6.5,-109.0,-110.0,-110.0,-105.0,-109.0,-110.0,-110.0,-110.0,-110.0,-110.0,,-110.0,-101.0,,0.4529786354102292,1.99009900990099
windcreek,650.0,0.08790005285608093,Louisiana Tech Bulldogs @ Army Black Knights,h2h,,Louisiana Tech Bulldogs,,550.0,,550.0,580.0,550.0,550.0,575.0,525.0,550.0,550.0,,525.0,580.0,650.0,0.1450533403808108,7.5
betanysports,-350.0,-0.020756584748933715,Alabama Crimson Tide @ Michigan Wolverines,h2h,,Alabama Crimson Tide,,-385.0,-350.0,-375.0,-350.0,-385.0,-365.0,-430.0,-395.0,-400.0,-430.0,,-450.0,-350.0,-455.0,0.7616337674174961,1.2857142857142856
betonlineag,-350.0,-0.020756584748933715,Alabama Crimson Tide @ Michigan Wolverines,h2h,,Alabama Crimson Tide,,-385.0,-350.0,-375.0,-350.0,-385.0,-365.0,-430.0,-395.0,-400.0,-430.0,,-450.0,-350.0,-455.0,0.7616337674174961,1.2857142857142856
lowvig,-350.0,-0.020756584748933715,Alabama Crimson Tide @ Michigan Wolverines,h2h,,Alabama Crimson Tide,,-385.0,-350.0,-375.0,-350.0,-385.0,-365.0,-430.0,-395.0,-400.0,-430.0,,-450.0,-350.0,-455.0,0.7616337674174961,1.2857142857142856
bovada,230.0,0.008471291071155074,Indiana Hoosiers @ Notre Dame Fighting Irish,h2h,,Indiana Hoosiers,,225.0,,220.0,,225.0,,230.0,200.0,210.0,205.0,210.0,200.0,,195.0,0.3055973609306531,3.3
bovada,105.0,-0.09879465912797047,Boston College Eagles @ Nebraska Cornhuskers,spreads,,Boston College Eagles,2.5,-103.0,,-105.0,100.0,-103.0,100.0,105.0,,-105.0,-106.0,,,104.0,,0.43961236140099,2.05
betonlineag,-102.0,-0.10006720942879066,Coastal Carolina Chanticleers @ UTSA Roadrunners,spreads,,Coastal Carolina Chanticleers,10.0,-114.0,,-115.0,-102.0,-114.0,,-110.0,-108.0,-110.0,,,-110.0,102.0,,0.4544215081102147,1.9803921568627447
lowvig,-101.0,-0.10167912066814255,Louisiana Ragin Cajuns @ TCU Horned Frogs,spreads,,Louisiana Ragin Cajuns,13.0,,,-110.0,-105.0,,-110.0,,,-110.0,,,-110.0,-101.0,,0.451395068718993,1.99009900990099
espnbet,100.0,-0.0997369771765233,Pittsburgh Panthers @ Toledo Rockets,spreads,,Pittsburgh Panthers,-7.0,-108.0,-105.0,-110.0,-107.0,-108.0,-110.0,-105.0,-110.0,100.0,,-115.0,-110.0,-103.0,,0.4501315114117383,2.0
