value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,165.0,0.0542781669700918,Houston Rockets @ Denver Nuggets,player_rebounds_alternate,Alperen Sengun,Over,11.5,,,131.0,150.0,125.0,130.0,165.0,130.0,0.397840817724563,2.65
fanduel,-105.0,0.021531385426983185,Memphis Grizzlies @ San Antonio Spurs,player_rebounds_alternate,Zach Edey,Over,7.5,,,-114.0,-130.0,-135.0,-125.0,-105.0,-135.0,0.5232233925357719,1.9523809523809523
fanduel,330.0,0.11415898915898892,Houston Rockets @ Denver Nuggets,player_points_alternate,Russell Westbrook,Over,19.5,,,,300.0,230.0,225.0,330.0,260.0,0.2591067416648812,4.3
fanduel,-195.0,-0.015664899730542414,Orlando Magic @ Milwaukee Bucks,player_points_alternate,Brook Lopez,Over,9.5,,,-270.0,-220.0,-235.0,-240.0,-195.0,-240.0,0.6506621849238787,1.5128205128205128
betmgm,135.0,0.026301218161683404,New York Knicks @ Philadelphia 76ers,player_rebounds_alternate,Caleb Martin,Over,4.5,,135.0,,,100.0,110.0,,110.0,0.4367239226219929,2.35
betmgm,875.0,0.3071409564234573,Memphis Grizzlies @ San Antonio Spurs,player_rebounds_alternate,Santi Aldama,Over,9.5,,875.0,355.0,500.0,800.0,600.0,550.0,,0.1340657391203546,9.75
draftkings,600.0,0.18457331245054975,Boston Celtics @ Toronto Raptors,player_rebounds_alternate,Scottie Barnes,Over,11.5,,,291.0,400.0,600.0,450.0,420.0,450.0,0.1692247589215071,7.0
betmgm,170.0,0.05253077975376197,New York Knicks @ Philadelphia 76ers,player_points_alternate,Joel Embiid,Over,29.5,,170.0,116.0,,125.0,150.0,,155.0,0.3898262147236155,2.7
bovada,100.0,0.02962899578945688,Miami Heat @ Los Angeles Lakers,player_assists,Anthony Davis,Under,3.5,,,-120.0,100.0,-130.0,-125.0,-125.0,-130.0,0.5148144978947284,2.0
fanduel,-310.0,-0.055480188799868824,Golden State Warriors @ Minnesota Timberwolves,player_points_alternate,Naz Reid,Over,9.5,,-450.0,,-370.0,-425.0,-400.0,-310.0,-375.0,0.7141491255415625,1.3225806451612905
fanduel,-104.0,0.024183439549890773,Dallas Mavericks @ New Orleans Pelicans,player_rebounds_assists,C.J. McCollum,Over,7.5,-109.0,,,,-130.0,-140.0,-104.0,-140.0,0.5221327338881796,1.9615384615384617
betonlineag,120.0,0.03855920920899614,Memphis Grizzlies @ San Antonio Spurs,player_assists,Desmond Bane,Over,5.5,-109.0,,120.0,-105.0,-105.0,100.0,110.0,-120.0,0.4720723678222709,2.2
fanduel,220.0,0.07728129384602433,Atlanta Hawks @ Chicago Bulls,player_rebounds_alternate,Clint Capela,Over,11.5,,,188.0,200.0,165.0,165.0,220.0,165.0,0.3366504043268826,3.2
fanduel,300.0,0.09729545648238691,Orlando Magic @ Milwaukee Bucks,player_assists_alternate,Paolo Banchero,Over,5.5,,,214.0,210.0,250.0,,300.0,260.0,0.2743238641205967,4.0
fanduel,210.0,0.0722117585558486,Orlando Magic @ Milwaukee Bucks,player_points_alternate,Brook Lopez,Over,14.5,,,146.0,190.0,180.0,160.0,210.0,170.0,0.3458747608244673,3.1
fanduel,-310.0,-0.056558104428481415,Miami Heat @ Los Angeles Lakers,player_points_alternate,Jaime Jaquez Jr,Over,9.5,,-500.0,,-400.0,-360.0,-400.0,-310.0,-375.0,0.713334116163831,1.3225806451612905
