event_id,sport_title,home_team,away_team,commence_time,market,outcome,BetMGM,BetOnline.ag,BetRivers,BetUS,Bovada,Caesars,DraftKings,FanDuel,LowVig.ag,MyBookie.ag
973a6ea86af7d9e2bf4c52509822f5bf,NBA,New York Knicks,San Antonio Spurs,2024-12-25T17:00:00Z,h2h,New York Knicks,No Data,No Data,No Data,No Data,No Data,No Data,-425.0,No Data,No Data,No Data
973a6ea86af7d9e2bf4c52509822f5bf,NBA,New York Knicks,San Antonio Spurs,2024-12-25T17:00:00Z,h2h,San Antonio Spurs,No Data,No Data,No Data,No Data,No Data,No Data,330.0,No Data,No Data,No Data
973a6ea86af7d9e2bf4c52509822f5bf,NBA,New York Knicks,San Antonio Spurs,2024-12-25T17:00:00Z,spreads,New York Knicks,No Data,No Data,No Data,No Data,No Data,No Data,-110.0,No Data,No Data,No Data
973a6ea86af7d9e2bf4c52509822f5bf,NBA,New York Knicks,San Antonio Spurs,2024-12-25T17:00:00Z,spreads,San Antonio Spurs,No Data,No Data,No Data,No Data,No Data,No Data,-110.0,No Data,No Data,No Data
bc6f994bad539db5054c8b750c437fb8,NBA,Golden State Warriors,Los Angeles Lakers,2024-12-26T01:00:00Z,h2h,Golden State Warriors,No Data,No Data,No Data,No Data,No Data,-165.0,-175.0,No Data,No Data,No Data
bc6f994bad539db5054c8b750c437fb8,NBA,Golden State Warriors,Los Angeles Lakers,2024-12-26T01:00:00Z,h2h,Los Angeles Lakers,No Data,No Data,No Data,No Data,No Data,140.0,145.0,No Data,No Data,No Data
bc6f994bad539db5054c8b750c437fb8,NBA,Golden State Warriors,Los Angeles Lakers,2024-12-26T01:00:00Z,spreads,Golden State Warriors,No Data,No Data,No Data,No Data,No Data,-115.0,-110.0,No Data,No Data,No Data
bc6f994bad539db5054c8b750c437fb8,NBA,Golden State Warriors,Los Angeles Lakers,2024-12-26T01:00:00Z,spreads,Los Angeles Lakers,No Data,No Data,No Data,No Data,No Data,-105.0,-110.0,No Data,No Data,No Data
bc6f994bad539db5054c8b750c437fb8,NBA,Golden State Warriors,Los Angeles Lakers,2024-12-26T01:00:00Z,totals,Over,No Data,No Data,No Data,No Data,No Data,-110.0,-110.0,No Data,No Data,No Data
bc6f994bad539db5054c8b750c437fb8,NBA,Golden State Warriors,Los Angeles Lakers,2024-12-26T01:00:00Z,totals,Under,No Data,No Data,No Data,No Data,No Data,-110.0,-110.0,No Data,No Data,No Data
d070638782ccca86d8b610ef704f9be0,NBA,Memphis Grizzlies,Denver Nuggets,2024-11-20T01:10:00Z,h2h,Denver Nuggets,135.0,143.0,140.0,142.0,145.0,140.0,140.0,144.0,143.0,134.0
d070638782ccca86d8b610ef704f9be0,NBA,Memphis Grizzlies,Denver Nuggets,2024-11-20T01:10:00Z,h2h,Memphis Grizzlies,-165.0,-163.0,-167.0,-165.0,-170.0,-165.0,-166.0,-172.0,-163.0,-164.0
d070638782ccca86d8b610ef704f9be0,NBA,Memphis Grizzlies,Denver Nuggets,2024-11-20T01:10:00Z,spreads,Denver Nuggets,-110.0,-109.0,-113.0,-110.0,-115.0,-105.0,-108.0,-108.0,-105.0,-110.0
d070638782ccca86d8b610ef704f9be0,NBA,Memphis Grizzlies,Denver Nuggets,2024-11-20T01:10:00Z,spreads,Memphis Grizzlies,-110.0,-111.0,-108.0,-110.0,-105.0,-115.0,-112.0,-112.0,-107.0,-110.0
d070638782ccca86d8b610ef704f9be0,NBA,Memphis Grizzlies,Denver Nuggets,2024-11-20T01:10:00Z,totals,Over,-105.0,-110.0,-110.0,-110.0,-110.0,-110.0,-108.0,-112.0,-107.0,-110.0
d070638782ccca86d8b610ef704f9be0,NBA,Memphis Grizzlies,Denver Nuggets,2024-11-20T01:10:00Z,totals,Under,-115.0,-110.0,-110.0,-110.0,-110.0,-110.0,-112.0,-108.0,-107.0,-110.0
